City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,provideniya,64.3833,-173.3,30.7,91,100,15.73,RU,1651348379
157,kruisfontein,-34.0033,24.7314,52.88,86,7,6.93,ZA,1651348163
158,nikolskoye,59.7035,30.7861,40.91,68,100,6.8,RU,1651348380
159,wufeng,27.45,104.8333,40.17,95,100,8.25,CN,1651348380
160,chumikan,54.7183,135.315,28.45,93,100,1.03,RU,1651348381
161,didwana,27.4,74.5667,89.06,20,5,9.01,IN,1651348381
162,monrovia,6.3005,-10.7969,80.37,81,54,9.78,LR,1651348234
163,mandalgovi,45.7625,106.2708,45.36,33,62,8.19,MN,1651348226
164,rock springs,41.5875,-109.2029,55.24,27,0,4.61,US,1651348382
165,barrow,71.2906,-156.7887,17.62,79,20,13.8,US,1651348383
166,dunedin,-45.8742,170.5036,54.81,83,100,1.99,NZ,1651348191
167,iqaluit,63.7506,-68.5145,26.33,73,100,8.05,CA,1651348203
168,pacifica,37.6138,-122.4869,74.43,81,75,19.57,US,1651348323
169,yurimaguas,-5.9,-76.0833,86.16,66,40,5.75,PE,1651348383
170,portland,45.5234,-122.6762,57.24,82,75,9.22,US,1651348296
171,forio,40.7342,13.8646,63.45,65,1,8.01,IT,1651348384
172,izumo,35.3667,132.7667,53.55,83,100,5.88,JP,1651348385
173,kerch,45.3583,36.4758,55.6,82,100,14.67,UA,1651348385
174,zaysan,47.4667,84.8667,56.61,22,91,7.2,KZ,1651348236
175,meulaboh,4.1363,96.1285,78.53,87,100,0.78,ID,1651348200
176,cap malheureux,-19.9842,57.6142,74.46,80,5,16.11,MU,1651348386
177,champerico,14.3,-91.9167,91.94,62,71,9.35,GT,1651348383
178,santa fe,-31.6333,-60.7,63.01,56,96,1.99,AR,1651348386
179,zhigansk,66.7697,123.3711,30.81,97,100,31.97,RU,1651348387
180,hermanus,-34.4187,19.2345,58.93,86,79,3.0,ZA,1651348387
181,chuy,-33.6971,-53.4616,58.48,65,100,4.79,UY,1651348388
182,kupang,-10.1667,123.5833,77.27,86,9,6.58,ID,1651348388
183,pudozh,61.8099,36.5345,31.55,97,100,7.43,RU,1651348389
184,dikson,73.5069,80.5464,16.43,94,100,18.54,RU,1651348389
185,mount isa,-20.7333,139.5,65.97,82,54,4.61,AU,1651348152
186,berlevag,70.8578,29.0864,28.4,74,94,14.56,NO,1651348390
187,najran,17.4924,44.1277,81.25,34,9,2.64,SA,1651348390
188,kidal,18.4411,1.4078,90.81,10,100,11.9,ML,1651348348
189,nemuro,43.3236,145.575,37.42,57,92,4.59,JP,1651348391
190,nuuk,64.1835,-51.7216,25.88,58,97,13.0,GL,1651348300
